Identity,Epoch 238,Epoch 237,Epoch 236,Epoch 235,Epoch 234,Epoch 233,Epoch 232,Epoch 231,Epoch 230,Epoch 229,Epoch 228,Epoch 226,Epoch 225,Epoch 224,Epoch 223,Epoch 220,Epoch 218,Epoch 216,Epoch 215,Epoch 214,Epoch 213,Epoch 211,Epoch 210,Epoch 209,Epoch 208,Epoch 207,Epoch 206,Epoch 205,Epoch 204,Epoch 203,Epoch 202,Epoch 201,Epoch 200,Epoch 199,Epoch 198,Epoch 197,Epoch 196,Epoch 195,Epoch 194,Epoch 193,Epoch 192,Epoch 191,Epoch 190,Epoch 189,Epoch 188,Epoch 187,Epoch 186
FFrx4NAJginBWNm155TXLgx1annkmdqEwAP79nNRwxjQ,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Baseline,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus
FGtnWNf7hSerB6etd46dusFd2o76YZvKqR2GgwnPSvxc,Bonus,Bonus,Bonus,Bonus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FGzASVsHGu7NdSbrzuTHyGNViE5CdcR2ZAz8MVLY1jx2,Bonus,Baseline,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Baseline,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Baseline,Baseline,Baseline,None,-,-,-,-
FHZbKviw56w6LpFjDaz6MSvwXsJNYS4Gry7Q2EwjDXBJ,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus
FHjhVhgkzHg2bZ9Ghy6utZQzZZT1XV7BiprbP5422Lwi,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,None
FJBA1Q7gUvEkEsSuNDfDgJEKeiJmfF9Z7tF93sx8wNBe,None,None,None,None,None,None,Baseline,Baseline,Baseline,Baseline,Bonus,Baseline,Bonus,Bonus,Bonus,Baseline,Bonus,None,None,None,None,Bonus,Bonus,Bonus,Bonus,Bonus,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline
FJMCiuiBEbKum7cLx7pqi1xWeNbpUuPJBKUeiBTkxLdg,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Baseline,Baseline,Bonus,Bonus,Bonus,Baseline,None,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Baseline,Baseline,Baseline,Baseline,-,-,-,-,-,-
FJU9g3xb3FLMvHquwECu2ckM2ksYigMQWgjKktQtEeEZ,Bonus,Bonus,Bonus,Bonus,Bonus,Baseline,Baseline,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FJzX9Cs7zwo5AZKUjf9wkBHULSJr6DaESAbUbBPhx6E4,Bonus,Baseline,Bonus,Bonus,Bonus,Bonus,Baseline,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,-,-,-,-,-,-
FK1TQPnYVzg1e925kHurusgkXxxFuBfEko6D8ZirKNeR,Baseline,Baseline,None,Bonus,None,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,Bonus,None,None,Baseline,Baseline,None,None,None,Baseline,Bonus,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Bonus,Bonus
